_id,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
1,222076257,619,,LARCENY ALL OTHERS,D4,167,0,2022-01-01 00:00:00,2022,1,Saturday,0,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
2,222053099,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7, ,0,2022-01-01 00:00:00,2022,1,Saturday,0,,BENNINGTON ST,42.37724638479816,-71.0325970804128,"(42.37724638479816, -71.0325970804128)"
3,222039411,3201,,PROPERTY - LOST/ MISSING,D14,778,0,2022-01-01 00:00:00,2022,1,Saturday,0,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
4,222011090,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2022-01-01 00:00:00,2022,1,Saturday,0,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
5,222062685,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2022-01-01 00:00:00,2022,1,Saturday,0,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
6,222040307,3115,,INVESTIGATE PERSON,A1,954,0,2022-01-01 00:00:00,2022,1,Saturday,0,,FULTON ST,42.36293610909294,-71.0525379472723,"(42.36293610909294, -71.0525379472723)"
7,222023700,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4, ,0,2022-01-01 00:00:00,2022,1,Saturday,0,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
8,222027838,3114,,INVESTIGATE PROPERTY,B3, ,0,2022-01-01 00:01:00,2022,1,Saturday,0,,SELDEN ST,42.280893655822176,-71.0803746810546,"(42.280893655822176, -71.0803746810546)"
9,222002890,1109,,FRAUD - WIRE,C6,200,0,2022-01-01 00:01:00,2022,1,Saturday,0,,W BROADWAY,42.341287504390436,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
10,222000003,423,,ASSAULT - AGGRAVATED,D4, ,0,2022-01-01 00:29:00,2022,1,Saturday,0,,BROOKLINE AVE,42.34625079905638,-71.09953855872904,"(42.34625079905638, -71.09953855872904)"
11,222000387,2647,,THREATS TO DO BODILY HARM,A1,77,0,2022-01-01 00:30:00,2022,1,Saturday,0,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
12,222000182,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2022-01-01 00:30:00,2022,1,Saturday,0,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
13,222000309,3201,,PROPERTY - LOST/ MISSING,A15,41,0,2022-01-01 00:30:00,2022,1,Saturday,0,,VINE ST,42.37663166813234,-71.05593195497872,"(42.37663166813234, -71.05593195497872)"
14,222000181,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2022-01-01 00:30:00,2022,1,Saturday,0,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
15,222000004,1402,,VANDALISM,E5, ,0,2022-01-01 00:33:00,2022,1,Saturday,0,,DELFORD ST,42.292092069228836,-71.12108876777533,"(42.292092069228836, -71.12108876777533)"
16,222000027,3114,,INVESTIGATE PROPERTY,A1, ,0,2022-01-01 00:44:00,2022,1,Saturday,0,,MELROSE ST,42.34896523984558,-71.06848460481795,"(42.34896523984558, -71.06848460481795)"
17,222000011,423,,ASSAULT - AGGRAVATED,A1, ,0,2022-01-01 00:46:00,2022,1,Saturday,0,,SCHOOL ST,42.35754619923963,-71.0588195319583,"(42.35754619923963, -71.0588195319583)"
18,222000006,423,,ASSAULT - AGGRAVATED,A1,93,0,2022-01-01 00:48:00,2022,1,Saturday,0,,UNION ST,42.36068786991018,-71.05687293370812,"(42.36068786991018, -71.05687293370812)"
19,222000010,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2022-01-01 00:53:00,2022,1,Saturday,0,,SAINT BOTOLPH ST,42.346174755447535,-71.07925920373032,"(42.346174755447535, -71.07925920373032)"
20,222000025,3115,,INVESTIGATE PERSON,E18,519,0,2022-01-01 00:57:00,2022,1,Saturday,0,,PIERCE ST,42.25711405538539,-71.11719142973159,"(42.25711405538539, -71.11719142973159)"
21,222000198,724,,AUTO THEFT,B2,319,0,2022-01-01 01:00:00,2022,1,Saturday,1,,CHENEY ST,42.30970015593802,-71.08582414153403,"(42.30970015593802, -71.08582414153403)"
22,222000567,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,138,0,2022-01-01 01:00:00,2022,1,Saturday,1,,NEWBURY ST,42.34999732725388,-71.08103440327558,"(42.34999732725388, -71.08103440327558)"
23,222000015,2647,,THREATS TO DO BODILY HARM,B2, ,0,2022-01-01 01:01:00,2022,1,Saturday,1,,MISSION PARK DR,42.33407623885243,-71.10842652954574,"(42.33407623885243, -71.10842652954574)"
